Disease,Description,Medication,Severity,Contagious
Panic disorder,"Panic disorder is a mental health condition marked by sudden, unexpected panic attacks—intense periods of fear or discomfort—often accompanied by physical symptoms like chest pain, rapid heartbeat, shortness of breath, or dizziness.","SSRIs (e.g., Sertraline, Fluoxetine), Benzodiazepines (e.g., Clonazepam, Alprazolam), SNRIs (e.g., Venlafaxine), Beta-blockers, Cognitive Behavioral Therapy (CBT)",Moderate,No
Vaginitis,"Vaginitis is inflammation of the vaginal tissue, typically caused by infections (bacterial, fungal, or parasitic), hormonal imbalances, or irritants, resulting in discharge, itching, pain, or burning during urination.","Metronidazole, Clindamycin, Fluconazole, Hydrocortisone cream, Probiotic supplements",Moderate,Yes
Problem during pregnancy,"Problems during pregnancy refer to medical complications such as gestational diabetes, preeclampsia, or fetal growth restriction that can affect the health of the mother or baby during gestation.","Prenatal vitamins, Iron supplements, Antihypertensives (e.g., Labetalol), Insulin (for gestational diabetes), Folic acid",Emergency,No
Acute pancreatitis,"Acute pancreatitis is a sudden inflammation of the pancreas that causes severe abdominal pain, nausea, vomiting, and elevated pancreatic enzymes, often due to gallstones or alcohol use.","IV fluids, Pain relievers (e.g., Morphine), Antibiotics (if infection), Enzyme replacement therapy, Fasting/NPO",Emergency,No
Asthma,"Asthma is a chronic inflammatory disease of the airways causing recurrent wheezing, breathlessness, chest tightness, and coughing, often triggered by allergens, exercise, or cold air.","Inhaled corticosteroids (e.g., Fluticasone), Beta-agonists (e.g., Albuterol), Leukotriene modifiers (e.g., Montelukast), Anticholinergics (e.g., Ipratropium), Omalizumab",Urgent,No
Infectious gastroenteritis,"Infectious gastroenteritis is an intestinal infection caused by viruses, bacteria, or parasites, leading to symptoms like diarrhea, vomiting, abdominal cramps, and fever.","Oral rehydration salts (ORS), Antibiotics (e.g., Ciprofloxacin, if bacterial), Antiemetics (e.g., Ondansetron), Probiotics, Loperamide (if appropriate)",Moderate,Yes
Acute sinusitis,"Acute sinusitis is a temporary inflammation or infection of the sinuses, usually following a cold, causing nasal congestion, facial pain, pressure, and headache.","Saline nasal spray, Decongestants (e.g., Pseudoephedrine), Nasal corticosteroids, Antibiotics (if bacterial), Acetaminophen for pain",Moderate,Yes
Cornea infection,"Cornea infection (keratitis) is an infection of the transparent front part of the eye, usually caused by bacteria, fungi, or viruses, leading to eye pain, redness, blurred vision, and light sensitivity.","Antibiotic eye drops (e.g., Ciprofloxacin), Antiviral eye drops (e.g., Ganciclovir), Antifungal drops (e.g., Natamycin), Lubricant eye drops, Steroids (in selected cases)",Urgent,Sometimes
Marijuana abuse,"Marijuana abuse refers to the excessive or harmful use of cannabis, which can lead to cognitive impairment, altered judgment, addiction, and long-term mental health issues.","Behavioral therapy, CBT, Motivational enhancement therapy, No FDA-approved medications, Support groups (e.g., NA)",Moderate,No
Bursitis,"Bursitis is inflammation of the bursae—small fluid-filled sacs that cushion bones and joints—causing joint pain, swelling, and limited movement, often from repetitive motion or pressure.","NSAIDs (e.g., Ibuprofen), Corticosteroid injections, Ice packs, Physical therapy, Antibiotics (if septic bursitis)",Mild,No
Actinic keratosis,"Actinic keratosis is a rough, scaly patch on the skin caused by prolonged sun exposure, and is considered a precancerous condition that can develop into squamous cell carcinoma.","Topical 5-fluorouracil, Imiquimod cream, Diclofenac gel, Cryotherapy, Photodynamic therapy",Moderate,No
